id,Job Title,Education,Experience,superlative_score,text_inconsistency_score,reciprocity_score,timeline_inconsistency_score
766,AUDIO/VISUAL TECHNICIAN,"AUDIO/VISUAL TECHNICIAN
Summary
Proficient in the configuration and operation of DAWs and software such as Pro Tools, Logic Pro, Melodyne, Autotune, Traktor, Serato,
Sibelius
Capable of operating API Vision, AWS 900, AMEK 9098i, and SSL Duality consoles
Advanced understanding of sound systems and their configurations I.E PA systems to Car Stereo
Knowledge in recording and creating sounds effects as well as putting sound to picture
Education
2014
Bachelor of Science : ","Recording Arts Full Sail University ï¼​ City , State
2012
Associates of Science and Arts : Music Northwestern Michigan College ï¼​ City , State
Experience
04/2017 to Current
Audio/Visual Technician Company Name ï¼​ City , State
Installation of high-end home audio and video solutions.
 10/2012 to 05/2014
Promoter and Event Coordinator Company Name ï¼​ City , State
Promoter and Event Coordinator for night club venue showcasing electronic music
Resident DJ and stage hand
06/2010 to 08/2010
Internship Company Name ï¼​ City , State
Responsible for editing and mixing pre-recorded programming
Understands proper broadcast etiquette and basic workflow of operating on-air programming
Training
Session Recording â€“ Full Sail University
Proficient in pre-production and setup for sessions
Responsibilities included mic placement for drum kit, vocal setups, cue mixes, and signal routing
â€‹â€‹
Music Production and Arrangement â€“ Full Sail University
Exercised skills involving production of music and songwriting
Skilled in proper remix techniquesÂ
â€‹â€‹
Show Production â€“ Full Sail University
Acquired basic understanding of show production systems such as stage set-up/strike, wiring speaker systems, and routing audio to/from
console or stage
Gained experience on Midas Vienna and Verona consoles, as well as the SC48 Venue console
Understands proper safety procedures when working at events and with equipment
â€‹â€‹
Â FSEDM â€“ School Electronic Music Production/DJ Club
Established working relationships with local promoters and local club owners to provide outlets for our DJs to gain live experience
Expanded skills in DJingâ€‹â€‹
 ",0.46633592,0.475709938,0,0
767,VICE PRESIDENT INFORMATION TECHNOLOGY INFRASTRUCTURE OPERATIONS,"Education and Training
Bachelor of Science : Computer Science TROY STATE UNIVERSITY , City , State , Montgomery
Associate of Science : Healthcare Systems Community College of the Air Force , City , State , Montgomery
 ","VICE PRESIDENT INFORMATION TECHNOLOGY INFRASTRUCTURE OPERATIONS
Summary
Results-driven IT executive management professional with 20 years of experience in diverse industries, including healthcare and marketing.
 Dynamic, resourceful, and extremely driven individual with a deep passion for creating and delivering programs and solutions that
empower a team, company, and customer to meet and exceed desired expectations
Skills
â€¢Infrastructure ManagementÂ â€¢Data Center Operations â€¢Project ManagementÂ â€¢Team Building/CoachingÂ â€¢Vendor
Management and NegotiationÂ â€¢Budget ManagementÂ â€¢Policy/Program Development Â â€¢LAN/WAN, SAN, Firewalls and
RoutersÂ â€¢
Experience
Company Name City , State Vice President Information Technology Infrastructure Operations 06/2008 to Current
Reduced overall network bandwidth costs over 15%, through ISP consolidation and management.
 ",0.49374533,0.282664688,1,0
768,ARTS EDUCATION INTERN,"ARTS EDUCATION INTERN
Objective
To obtain an administrative internship with the Performing Arts Project for the 5-week intensive program.
 Education
Bachelors of Music in Vocal Performance 2018 California State University, Northridge ï¼​ City , State , USA
3.99 GPA
Coursework in Music Theory
Coursework in Vocal Techniques and Musical Theater
Experience
Arts Education Intern Sep 2016 to Current
Company Name ï¼​ City , State
Taught workshops about opera to local schoolsÂ
Researched and compiled study guides for schools
Assisted Dr. Anthony Cantrell in setting up student matinees
â€‹
Arts Education and Box Office Intern (LA County Arts Commission Intern Program) ",,0.33466604,0.402766789,0,0
769,FINANCE OFFICER,"Education
Bachelor of Science Degree : Business Administration Finance , 2009 Northern Caribbean University ï¼​ City , JAMAICA
Business Administration Finance
Certificate of Management Studies St. Hugh's High School Sixth form Business Certificate : 2002 University of the West Indies ï¼​ City ,
JAMAICA W.I.
Interests
Reading
Additional Information
Reading
Skills
Bank reconciliations, Analysis, bonds, Budget Analysis, Cash Flow, General Ledger, inventory, investments, Interest Payable & Savings, Payroll,
Schedules, Sales, Customer Service
 ","Highlights
ACCPAC accounting skills
Analytical reasoning
Budget analysis
Account reconciliations
Accomplishments
Liaised with the BPI Team in investigating and understanding the nature of most of the errors on the Savings & IP Schedules thus enabling me to
clear most of the items
Successfully streamlined daily reconciliations in order to identify reconciling items & errors and clear them in a timely manner
Achieved set targets and contributed to the overall attainment of the department and company's goalsTrained staff regarding standard operating
procedures
Resolved differences between team members and ensured an atmosphere of unity and respect
Maintained dialog with customers in order to promote the company's sales & to develop a good rapport with the customers
Organize and streamlined the routine procedures for the sales representatives
Ensured that both monthly & annual Returns prepared and submitted a timely manner
Experience
Finance Officer
May 2011 to January 2016 Company Name ï¼​ City , State
G/L Reporting & Preparation of Audit Schedules Daily General Ledger postings and accounting journals for: Investigated and put together
Savings & Interest Payable Reconciliations to show the aggregate net savings and liabilities position of the organization year to date Staff
Loans & Statutory Deductions Investment Accounting Compiled, analyzed and prepared Interest Income, and Price Volume Budget
Analysis to assist the Budget Analyst in gaining a comprehensive depiction of the actual interest derived from investments on a monthly and
year to date basis in comparison to the budgeted figures Gathered information for Accretion & Amortization Schedules to determine bonds
that are tax exempted Accomplishments Liaised with the BPI Team in investigating and understanding the nature of most of the errors on the
Savings & IP Schedules thus enabling me to clear most of the items Successfully streamlined daily reconciliations in order to identify
reconciling items & errors and clear them in a timely manner.
 ",0.68852687,0.396237376,0,0.342857143
770,GRADATION CANDIDATE ADVOCATE,"Education
Bachelors of Science , Physical Education 2010 University of South Carolina ï¼​ City , State Physical Education
Personal Information
Self-motivated, team-oriented management of sales with demonstrated strengths in customer service and retail with ability to work in a fast-paced,
energetic environment Combined strengths include excellent organizational and follow-up skills, time management and multi-tasking abilities;
superior interpersonal and verbal communication skills Proactive and driven professional focused on achieving organizational goals Open
availability and flexibility to work varied and extended hours to meet the needs of the business
Affiliations
 ","Versatile child advocate professional with over 5 years experience working in a student-focused learning environment helping students improve
their literacy.
 Core Qualifications
Operations management
Staff development
Inventory control
Supervision and training
Sound judgment
Computer-savvy
Professional Experience
Gradation Candidate Advocate Mar 2016 to Current
Company Name ï¼​ City , State Served as mentor to junior team members. ",0.424763,0.615865384,0,0.142857143
771,PRODUCT SPECIALIST,"PRODUCT SPECIALIST
Professional Summary
Seeking a full-time opportunity that relates to Business Administration
Core Qualifications
Critical thinking Territory growth
Eye for detail Business development
Effective multi-tasker Strategic planning
Verbal communication Time management ability
Experience
10/2015 to Current
Product Specialist Company Name ï¼​ City , State
Checked in vendors
Changed and verified prices
Created and tested promotions
Emphasized fast, friendly customer service
Offered product recommendations when appropriate
10/2014 to 10/2015
Sales Representative Company Name ï¼​ City , State
Cold-called prospective customers to build relationship
Maintained productive relationships with existing customers through exceptional follow-up after sales
Delivered products to customers in timely manner
Established new customer accounts
Evaluated competitors and performed market research
AchievedÂ monthly sales goals
05/2014 to 05/2016
Fitness Coach Company Name ï¼​ City , State
Suggested exercise modifications to individual students to avoid strain and injury
Encouraged members to continue attending group fitness classes
Corrected dangerous movements and suggested alternate exercises
Talked one-on-one with members about their fitness needs and eating habits
11/2009 to 10/2014
Assistant Manager Company Name ï¼​ City , State
Executed cash transactions quickly and accurately
Greeted all customers
Oversaw overnight store operations, including staff assignments and production lists
Delegated tasks to team members to optimize productivity
Supervised 5-7 employees per shift
Ordered and shelved weekly sale items for customers
Developed positive vendor relationships
Verified inventory counts
Bookkeeping back-up
Education
November 2015
Business Administration AIB College of Business ï¼​ City , State Business Administration
 ",,0.5186044,0.475328653,0,0
772,HR GENERALIST,"Expertise in employee relations and organization
development through education, and experience, seeks a similar role to produce immediate growth contribution to a rewarding company.
 Education
BBA : Human Resource Management 2004 Sam Houston State University , City , State , USA Minor inÂ International Business Coursework in
Human Resource Management Coursework in Business Administration
Associate of Science : Liberal Arts 2000 North Harris Community College , City , State , USA 3.8 Â GPA Liberal Arts
Skills
ADA, ADP, benefits, clarify, employee relations, human resource, Human Resources, HR, insurance, law enforcement, mediation, MS Office,
office, SharePoint, Organizational, performance management, personnel, policies, promotion, recruiting, recruitment, employee handbooks, vendor
management
 ","HR GENERALIST
Summary
Energetic, Bilingual Human Resources Professional offeringÂ ~11 years of extensive and successful experience administering various HR plans and
procedures. Highlights
Hiring and retention
Mediation expertise
Training and development
Employee relations
Compensation and benefits
Labor agreements
New hire orientation
Regulatory compliance
Compensation administration/payroll
Knowledgeable in all HR Systems
Experience
Company Name City , State HR Generalist 12/2014 to Current
Develops Human Resources policies, procedures, plans and budgets.
 Conducted employment verifications and investigations.
 Processed unemployment claims and acted as the company representative at unemployment hearings.
 Conducted employment verifications and investigations.
 Processed unemployment claims and acted as the company representative at unemployment hearings.
 Coordinated employment offers with management and extended offers to selected candidates.
 Completed employee employment verifications and unemployment paperwork in a timely manner.
 ",0.44853902,0,0,0
773,SENIOR ACCOUNTANT,"Education
Master of Accounting & Financial Management : 2012 Keller Graduate School of Management of DeVry University - City , State GPA: GPA:
3.91 GPA: 3.91
Master of Business Administration : 1 2011 -
Bachelor of Science : Technical Management Accounting 1 2010 Keller Graduate School of Management of DeVry University - City , State
GPA: GPA: 3.96 magna cum laude GPA: 3.96 Technical Management magna cum laude Accounting
DeVry University - City , State GPA: GPA: 3.79 GPA: 3.79
Skills
Accounting, accounts payable, accounts receivables, accrual, administrative, ADP, Arts, budgeting, bi, cash flow, closing, concise, contracts,
Certified Public Accountant, CPA, clients, documentation, senior management, financial, Financial Management, financial statements, Forms,
fundraising, general ledger, government, grants, materials, Microsoft Office, Enterprise, Oracle, payroll, PeopleSoft, processes, QuickBooks,
reconciling, Sales, SAP, Solomon, Tax, year-end
 ","Skills
Strong communication skills
ERP (Enterprise Resource Planning) software Budget analysis
Certified Public Accountant (CPA) Self-motivated professional
QuickBooks expert Advanced bookkeeping skills
Superior attention to detail SAP expertise
Account reconciliation specialist MS Office Suite
MS Office Suite
Work History
Senior Accountant 06/2011 to Current
Company Name â€“ City , State
Management of high level accounts including 280 endowment records totaling $85+ million and a private golf club account.
 ",0.45175177,0.654756923,0,0
774,ADMINISTRATIVE ASSISTANT,"To complement my background, please note that I attained a Medical Assistant Certificate from Ross
Medical Education Center and am certified in CPR / BLS by the American Red Cross. Education
Medical Assistant Certificate ROSS MEDICAL EDUCATION CENTER CPR / BLS Certification - American Red Cross Microsoft Office *
Email / Internet Applications
 ","I can offer cross-functional experience in Customer Service/
Administrative Operations, Account Management, Data / Recordkeeping, Business Bookkeeping, Billing / Invoices, Supplies Ordering, and
Inventory Control, and am well-versed with Customer Service, Workflow Prioritization, Strategic Analysis / Planning, Process Improvement, and
Regulatory Compliance, among other areas. As this is just a sampling of my job history, please refer to my enclosed resume for additional experience. Sincerely, Tina L. Gayden
Experience
Administrative Assistant
January 2012 to January 2013 Company Name ï¼​ City , State
Utilized broad scope of industry knowledge and dynamic customer service and administrative support acumen toward performing forward-
thinking business tasks, including scheduling client meetings, cost-effectively managing office and supply inventories, handling tense client
related issues and data management, and providing operational support.
 ",0.5731289,0,0,0
775,DIRECTOR OF INFORMATION TECHNOLOGY /CHIEF TECHNOLOGY OFFICER,"Education
BS : Information Technology Western Oregon University Information Technology
Technology Belford University Technology
Limited Energy Journeyman * ","Telecom Proficient leader who excels in dynamic-demanding
environments while maintaining clarity and focus Skilled in development and implementation of digital business technologies including Telecom
Strength in creating outstanding customer satisfaction Talented in positive team building that excels in delivering high quality services An innovative
technologist with exceptional track record across the entire technology lifecycle Experienced with business acquisitions and mergers Leads with
honesty, integrity, respect for others alone with a commitment to excellences Result-oriented with established success
Skill Highlights
Contract Negotiation for business support and commercial office properties
Cloud Technology implementation and deployment
Digital PBX, Cellular, Smart Devices and VoIP Technology
Deploy and integrate accounting systems to and from varies entities
ERP deployment, implementation and development
Design & implement complex interactive Web sites including Intranets
SWOT (Strengths, Weaknesses, Opportunities, and Threats) analysis and deployment
Enterprise Application Development and Deployment
Enterprise Data Warehouses and SQL Repositories
Enterprise Backup, Recovery and Storage Methodologies
Enterprise Compliance and Regulatory Solutions
Security Analysis and Deployment including cell phones and mobile devices
Design, deploy and manage LAN,WAN for data/voice using copper, fiber and wireless networks
Client/Servers & Specialty servers such as Citrix and Virtual, etc.
 Point to Point Wireless Antenna Systems and WiFi deployment
Mobile App deployment
Retail knowledge with IT deployment and support, Point of Sales & Bar-Coding systems
Business Analysis and Process Modeling
Lean technology to streamline mission critical business and system processes
Zero Based budgeting and EBIDTA
Policies & Procedures (ITIL)
Project, Network, Asset, Change and Security and Governance Management
IT Consulting
Professional Experience
Director of Information Technology /Chief ",0.6605155,0,0,0
776,PAYROLL ACCOUNTANT,"Education
Master : Accounting & Financial Management 2014 Keller Graduate School of Management City , State
Accounting & Financial Management with Certified Fraud Examiner emphasis
Bachelor of Science : Accounting 1993 DeVry University City , State
Accounting
Computer programming Army National Guard City , State
Debug computers
Programmed system to working order
Skills
Accounting, Accounts payable, Accounts Receivable, accruals, acquisitions, billing, closing, Consulting, contracts, Controller, credit, Customer
Support, financials, financial statements, fixed assets, general ledger, Human Resource, insurance, Internet Explorer, JD Edwards, Job costing,
KRONOS, Lotus, marketing, MAS90, Excel, Outlook Express, Windows, Word, Netscape, Payroll, personnel, Quickbooks
 ","PAYROLL ACCOUNTANT
Summary
Sixteen years experience reconciling the general ledger system, four years experience in accounts payable and eleven years experience in accounts
receivable. Highlights
FAS Asset Accounting
Excel
Quickbooks
Word
Anytime Scheduler
Outlook
KRONOS
Internet Explorer
Munis
FRX
MAS90
Netscape Messenger
JD Edwards
Experience
Payroll Accountant 07/2006 to Current Company Name City , State
Answered employee questions regarding pay and resolved any issues and discrepancies
Advised managers on organizational policy matters and recommend needed changes..
Processed and submitted Teacher Retirement reports and payments
Updated confidential employee banking information with accuracy and speed
Ran the monthly and bi-weekly payroll process.
 ",0.33903837,0.845194272,0,0
777,PRODUCTION ASSISTANT INTERN,"PRODUCTION ASSISTANT INTERN
Summary
Energetic and dedicated film student currently completing degree in media management and production. Hardware troubleshooting (Printers, Desktop units, Laptop units, cell phones and tablets)
Calling business clients (Schedule meetings, document information, data collection)
Martial Arts Instructor Jun 2011 to Jan 2014
Company Name ï¼​ City , State
Provide self defense training to students of various ages ranging from K-12 to adults
Answer incoming and outgoing phone calls
Provide customer support
Attend weekly marketing and business instructor meetings
Attend and assist with community marketing events
Skills /Interests
Skills:
Microsoft Office, Social media tools and management (Facebook, Twitter, Hootsuite, Medium.com), Publicity, Marketing , Customer relations,
Video and Audio Production, Tech savy
Interests and Hobbies:
Voice acting (Various professional coaches), Improvisation acting (Second City), Plot and story building in Books, TV, Movies, Video games and
etc, Computer hardware and software, and Music Theory
Education
Bachelor of Arts , Cinema and Television Arts 2016 California State University Northridge ï¼​ City , State , United States
Coursework in Pre and Post production
Coursework in Network Program Development
Coursework in Creative Script Writing
 ","Experience
Production assistant intern Oct 2015 to Jan 2016
Company Name ï¼​ City , State
Assist casting directors, producers and actors with audition process
Organize schedules, video and audio files
Handle cameras and various production equipment
Assisting with setup for printer and profiling
Assist with locked computer accountÂ
Social media relations intern/ Teacher assistant Jul 2015 to Dec 2015
Company Name ï¼​ City , State
Collect and retrieve Data
Research and aggregate content for Media Literacy Week event
Social Media Community Engager
Manage Press Release and social media post schedules
Social media creative distributor
Teacher assistant to professor at CSUN in mass communications research
Maintain blog tracking and social media calendars
Software troubleshooting (Outlook, Email support)
 ",0.44951627,0,0,0
778,INFORMATION TECHNOLOGY SPECIALIST I,"06/2001 to 07/2008
Technology Specialist III Company Name â€“ City , State
Install and configure HP network switches, program switch ports and assign vlans, connect network wall ports and terminate network
cables when necessary, troubleshoot network port communication errors and take appropriate action to correct problems, utilize TCP/IP
utilities such as ping, tracert and ipconfig to diagnose network problems, installed and maintain Whats up network device connectivity
monitoring software and configured the program to send sms messages when a device or service goes down, installed and maintained
Blackberry Enterprise server for MS Exchange server, Fedora Core Linux with Multi Router Traffic Grapher, 2 Windows 2003 domain
controllers, Renaissance Learning and Read 180 servers, Xiotech SAN and TNT network security appliance, written a number of dos and
vbscript scripts to automate many functions, including student user account creation by exporting data from the student information system
formatting the export file and to create approximately 5000 student user accounts, create home folders and set permissions, utilized group
policy to secure workstations or install new software, implemented the district Geographic Information system by recommending ArcGIS
software to my manager and worked with city and county agencies to acquire base layers and created additional layers such as school sites
and attendance areas, communicated with teachers, managers and students, installed and supported a variety of software including anti virus,
Office, Fortress desktop security, Rosetta Stone, Escape financial system and other education software, I used Ghost software to image
computers when necessary.
 Education
2013
I have attended several college Computer Science courses. ","INFORMATION TECHNOLOGY SPECIALIST I
Professional Summary
Skills
account management, cables, cabling, Help Desk, Linux, MS Exchange server, Sharepoint, network security, desktop support, Unix, HP Unix,
VBscript, Visual Basic Programming, Windows Server
Active Directory account management, Help Desk, Linux, MS Exchange server 2010, network/server security, desktop support, Unix, Windows
Server, Geographic Information system, group policy SCOM & SCCM, vbscripts and Powershell, SANs,
Active Directory account management and troubleshooting, Help Desk, Linux, MS Exchange server 2010, network/server security, desktop
support, Unix, Windows Server, Geographic Information system, group policy SCOM & SCCM, vbscripts and Powershell, SANs,
Work History
Information Technology Specialist I
Summary of Skills and Qualifications:.
 ",0,0,0,0.371428571
779,LEAD PHARMACY TECHNICIAN ADVOCATE - SUPERVISOR,"Education
Bachelors : Behavior Science , March 2015 Bellevue University ï¼​ City , State Behavior Science
National Pharmacy Technician Certification (PTCB) 2012-Present *Certification for Nebraska Pharmacy Technician : General Studies , 2012
Metro Community College ï¼​ City , State General Studies
Skills
streamline, basic, budget, business development, Maintain calendar, Case Management, charts, communication skills, customer service, data entry,
documentation, fast, filing, insurance, inventory, inventory control, leadership, Director, managing, marketing, office equipment, Assist patients,
Pharmacy Technician, profit, quality, receiving, record keeping, retail, safety, sales, scheduling, seminars, staff development, strategic planning,
supervision, technician, phones, translator, written
 ","LEAD PHARMACY TECHNICIAN ADVOCATE - SUPERVISOR
Experience
Lead Pharmacy Technician Advocate - Supervisor
June 2005 to Current Company Name ï¼​ City , State
Assist pharmacist in provision of pharmaceutical care by reviewing, collecting, and entering data used by pharmacists.
 ",0.47004843,0.27687867,0,0.371428571
780,ADVOCATE,"Develop career plans that fit clients' aptitudes, education levels, physical abilities, and career goals.
 Veteran Affairs Specialist 01/2011 to 01/2012 Company Name City , State
Provided training, education, career counseling, and job placement services to broad range of clients.
 Managed the process of identifying and addressing employee development opportunities through focus groups, 360-degree assessments,
and blended training solutions that include instructor-led classes, case studies, self-study, mentoring programs, e-Learning, coaching, role-
play, OJT, and web-based training.
 Education
Bachelor of Science : Human Resource Management 1 2013 University of Phoenix City , State GPA: GPA: 3.3 Human Resource Management
GPA: 3.3
Lean Six Sigma Certificate, 2013 North Florida/South Georgia Veterans Health Administration Workshops, Gainesville, FL Writing Advantage
Certificate, 2013 Coaching Toward High Performance Certificate, 2013 Franklin Covey ""Seven Habits of Highly Effective Leaders Certificate,
2012 Motivational Interviewing Certificate, 2012 Crucial Conversations Certificate 1 2012 Villanova University City , State
Skills
benefits, Coach, Coaching, conflict resolution, consultant, consulting, counseling, clients, documentation, focus, forms, HR, instructor, leadership,
materials, meetings, mentor, mentoring, multimedia, organizational, payroll, policies, processes, quality, quick, Six Sigma, strategic, teaching,
employee development, training programs, Workshops
Additional Information
AWARDS AND RECOGNITION Earned 10 years of dedicated ""Federal Government Service Award"" 2013. ","Conflict Resolution Team Building Mentoring and Coaching New-Hire
Orientation Disc Personality Assessments Training and Development Leadership Development Performance Appraisals Technical Skills
Experience
Advocate 01/2012 to Current Company Name City , State
NF/SG Healthcare for Homeless Veterans Program Coach, mentor, and develop 100 clients, with resume assistance, career counseling,
complaints, and problems.
 Employment Representative 01/2011 to 01/2012 Company Name City , State
Presented information, using a variety of instructional techniques and formats, such as role playing, simulations, team exercises, group
discussions, videos, and lectures.
 Acted as liaison and applying experience to resolve and handle a variety of HR functions, to include; benefits, payroll, awards
time/attendance, disciplinary actions, counseling/evaluations, conflict resolution, retention efforts, and management of files.
 ",0.40612665,0.744807628,0,0.057142857
781,"VIDEO DIRECTOR, EAST COAST VIDEO FOR ENTERPRISE BRANDS","Education
Bachelor of Arts , electric bass 2006 Berklee College of Music ï¼​ City , State , us
Graduated Cum Laude
2006 Most Improved Electric Bassist
Skills
CPT Certified with NASM
Adult and Pediatric CPR/AEDÂ
 ","Â
Highlights
Hard working
Passionate about learning
Physically fit
Take pride in sharing accurate information
Excellent problem solver
Reliable
Approachable
Accomplishments
Bicycled Across North America -Â May 14th to July 4th 2007
Start: New Jersey
End: San Francisco
Experience
Video Director, East Coast Video for Enterprise Brands Jan 2015 to Aug 2017
Company Name ï¼​ City , State Developed better interpersonal skills while directing highly accomplished business individuals.
 ",0.36895537,0,0,0
782,Summary,"Education
Anticipate Degree : Accounting , Summer 2016 Master in Accountancy ï¼​ City , State , USA GPA: GPA: 3.48
GPA: 3.48
Bachelor of AccountancyAl TurathUniversityIraq : June1998
Bachelor of Accountancy Degree : July 2010 Evaluation Stockholm University Sweden
Certificate of Business AdministrationSvenskabÃ¶rsrumInstituteSweden : April 2011
 ","Summary
I have many years of experience in accounting and finance including: audit, financial analysis, bank reconciliations, accounts payables/receivables,
financial statements, month and year end reporting, and budgeting
Highlights
MS Word, PowerPoint, Outlook, Access, and Excel (Advanced), Creative Solutions, QuickBooks, Fedielio (Hotels), Sales Tax Express, and
other proprietary accounting software
*Over 18 years of experience in accounting and finance including: audit, financial analysis, bank reconciliations, accounts payables/receivables,
financial statements, month and year end reporting, and budgeting
Experience
Accountant
June 2013 to Current Company Name ï¼​ City , State
Responsible for all accounting processes for 45 clients Perform end-of-period closing processes; prepare financial statements, and budgets.
 ",0.4644161,0,0,0.571428571
783,SALES / FINANCE MANAGER,"Education
Bachelor of Science , Civil Engineering 6 1997 Mosul University ï¼​ City , Iraq Civil Engineering Both degrees already equivalent to US degrees.
 ","A civil engineer / projects manager with more than 10 years of vast experience in management, planning, designing, bidding
and implementation of civil construction projects of buildings, Roads, hydraulic structures, solid waste transfer stations, waste water treatment
plants, concrete paving, security projects and etc. Enthusiastic and hardworking professional with experience of travelling to project sites around
the country including remote environments with limited communications or logistical support. Experience of working on infrastructure, utilities, and structural and highways projects. 3 years experience
in administration, customer services, Auto finance and used cars selling with one of the best car dealership in Forest lane, Garland. Excellent
experience of doing business with United Auto Credit, Westlake and Lobel.
 Experience
Sales / Finance Manager Sep 2011 to Sep 2014
Company Name ï¼​ City , State
Determining annual unit and gross-profit plans by implementing marketing strategies and analyzing trends and results.
 Doing well experience and efficiency for handling the operations of individual practices in a company.
 ",0.45118445,0,0,0
784,FINANCE MANAGER,"*Exceptional professional
selling skills enhanced by leadership and refined by a formal education and specialized sales-related training. Education
1999
Bachelors of Business Administrations : Accounting MERCER UNIVERSITY ï¼​ City , State Accounting
Skills
automotive, billing, closing, credit, leadership, process improvement, project management, rapport, relationship building, sales
Additional Information
Personal and professional references available upon request
 ","FINANCE MANAGER
Summary
Confident and sales-oriented Finance Manager with over three year experience and track record of sales success. *Proficient with ADP, Reynolds & Reynolds, UCS and DealerTrack
Experience
11/2003 to 05/2004
Finance Manager Company Name ï¼​ City , State
Demonstrated continuous growth and achievements within the automotive industry.
 ",0.6433019,0.392730504,1,0
785,QUALITY CONTROL INSPECTOR,"Education and Training
B.S : ","QUALITY CONTROL INSPECTOR
Summary
Southeast Region Veterans Preference: 10 Point Preference based on disability from military service Availability: Full Time, Permanent Profile:
Highly qualified aerospace inspector with over 18 years of rotary and fixed wing aircraft maintenance, inspection, and modification experience on
military and commercial aircraft During my civilian aerospace experience, I have prepared and retained records, documentation, and reports
required by customer contract and/or instruction. Experience
Quality Control Inspector 10/2011 ï¼​ Current Company Name City , State
Supervisor: Hunter Reed (912)-414-1558 Completes classroom and on-the-job training to acquire, exercise, and maintain knowledge of
the duties required to perform all inspection task ranging from First Article inspections to process inspections.
 Trains and supervises personnel at all experience and skill levels to ensure a cohesive working team.
 ",0.39188308,0.48734766,0,0
786,REGISTERED NURSE,"Education and Training
UPMC Shadyside School of Nursing 2012 ","REGISTERED NURSE
Professional Summary
To improve the wellbeing of the patients I serve and to manage illness with skill and compassion
To provide a safe and therapeutic environment to all patients and families through assessment and critical thinking to anticipate potential problems
To enhance and speed the recovery process of each individual
To promote respect, positive communication, and collaboration among all healthcare teams including patients and families
Licenses
CPR certified through American Heart Association
Registered Nurse in the State of Pennsylvania, License number RN645795
Skill Highlights
Medication administration
IV drug therapy management
Skilled Orthopedic Nurse
Body mechanics knowledge
Broad medical terminology knowledge
Specimen collection/processing
Use of hemovacs, autotransfusion devices, continuous passive motion therapy, traction,
proficiency
orthopedic braces
Professional Experience
Company Name February 2013 to Current Registered Nurse
City , State
Applying nursing knowledge and skills within relationship based care, using nursing processes to meet the clinical, spiritual, and
psychological needs of the patients and families
Serving as a highly engaged partner on the care team and responding to care team member needs for assistance and partnership
Participating in work that improves patient care and the professional practice environments
Adapting to changes and demonstrating flexibility within the change processes
Assisted patients with healing and recovery after surgery
Utilized strong assessment skills to determine necessary patient care.
 Formulating goals and a plan of care that involves the patient as a partner within the healthcare team
Demonstrates critical thinking in clinical, psychological, social, and spiritual issues for the patient within the care environment
Creating caring and compassionate patient focused experiences by building healing relationships with patients and their families, as well as
colleagues
Providing detailed and appropriate teaching to patients and families to effectively guide them through their care as they transition to another
level of care and/or home
Supporting the development of students, new staff and colleagues, serving as a preceptor
Performed all tasks with a patient-centered focus while seeking opportunities for improvement of processes and treatments
Creating an environment that facilitates open communication by asking for feedback and inquiry to improve practice
Utilizing research and evidence-based practice to support improvement in clinical care
Implemented new floor assignments based on evaluation of staffing requirements
Demonstrating accountability for actions, enthusiasm, motivation, and commitment to patients and family members
Demonstrating an understanding of cultural differences and needs while holding peers accountable for healthy relationships with patients and
families
Maintaining a conscious balance between work and personal life by modeling safe work hours, time management, and healthy lifestyle
practices
Responsible for Hemovac Autotransfusion System administration.
 ",0.373903,0,0,0
787,OPERATOR,"Education
1987
SONTHORMOK VOCATIONAL SCHOOL CAPITAL PHNOM PENH
2009
SAINT PETERSBURG COLLEGE
Certifications
VCRS & PAGERS REPAIR 1995-1999 CHICAGO, ILLINOIS
Skills
ASSEMBLER, LCD, MECHANICAL, ESS, PAINT, PAINTER, SALES, SOLDERING, PHONES, VIDEO
 ","Experience
01/1999 to Current
Operator Company Name ï¼​ City , State
SPRAY/TOUCH UP PAINT FOR PRODUCTIONS AND REPAIR UNITS SOLDERING AND REPAIR ",0,0,0,0.257142857
788,CONCIERGE/DOORMAN,"Education and Training
Sep 1999
High School Diploma : ","CONCIERGE/DOORMAN
Summary
Experience working in concierge, military, general office, international & domestic shipping. Experience
11/2014 to Current
Concierge/Doorman Company Name ï¼​ City , State
Provided professional and consistent concierge service to residents, visitors and contractors.
 ",0.36478046,0.919438868,0,0
